Food,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Parboiled Rice,218.17,35.33,5.67,5.16,1.03,3.72,184.39,39.04,2.19,3.19,27.84
Foxtail Millet Rice,203.5,36.36,5.6,5.48,0.81,3.91,132.82,42.43,1.74,1.99,24.42
Little Millet Rice,187.08,32.98,5.84,3.16,0.74,4.23,152.75,33.92,1.82,2.36,29.42
Kodo Millet Rice,176.2,32.84,5.51,3.68,1.01,4.64,164.94,31.74,2.08,1.68,32.76
Barnyard Millet Rice,172.88,27.6,5.41,3.45,1.11,4.78,127.43,42.03,1.38,1.99,36.67
Proso Millet Rice,209.41,32.77,5.23,5,0.74,4.48,133.2,29.53,1.99,3.14,24.45
Bajra Khichdi,135.83,24.48,5.25,3.16,1.11,4.11,162.58,36.11,2.15,1.91,27.64
Jowar Khichdi,146.83,28.43,4.94,2.89,1.04,3.91,139.39,36.93,1.68,1.74,28.62
Ragi Khichdi,151.86,26.91,4.84,3.69,1.01,3.37,181.33,33.19,2.12,1.61,23.26
Millet Vegetable Khichdi,172.71,26.03,4.57,4.49,0.46,4.71,184.28,42.99,2.04,2.55,29.89
Brown Rice Vegetable Khichdi,195.79,36.07,4.58,3.88,1.08,3.33,173.28,42.44,2.33,1.52,35.27
Quinoa Vegetable Khichdi,177.23,30.02,6.4,4.29,0.77,4.37,124.67,28.5,1.45,2.48,26.49
Vegetable Brown Rice,176.12,28.63,4.88,3.68,0.68,4.88,119.26,40.49,2.33,2.89,30.96
Vegetable Millet Pulao,174.3,30.35,5.7,4.8,0.75,5,166.13,28.54,1.59,1.86,33.93
Jowar Vegetable Pulao,137.74,24.02,3.72,4.22,0.43,4.45,162.78,31.69,1.94,2.07,37.7
Bajra Vegetable Pulao,173.25,29.38,3.91,4.56,0.93,4.97,132.3,41.89,2.08,1.64,28.44
Foxtail Millet Pulao,187.21,32.8,5.38,4.27,0.59,4.37,116.61,41.4,1.78,2.08,24.41
Quinoa Vegetable Pulao,149.54,27.7,4.09,2.81,0.67,4.58,151.32,41.94,1.67,2.72,38.02
Brown Rice Pulao,181.84,31.48,5.91,4.19,0.78,3.95,121.88,34.24,1.47,2.02,30.52
Peas Brown Rice Pulao,175.96,30.31,6.2,4.6,0.58,3.24,132.01,31.54,1.75,2.26,19.62
Moong Dal Pulao,129.38,23.22,4.53,3.22,0.56,4.19,197.22,28.33,1.48,1.49,38.83
Vegetable Dalia,189.78,32.69,6.3,3.35,0.55,4.95,150.31,33.64,2.27,1.5,39.14
Spinach Dalia,176.37,30.21,5.73,3,0.81,4.86,125.93,36.52,2.02,2.11,22.64
Tomato Dalia,163.31,30.29,3.8,4.03,0.41,5,173.17,27.4,1.93,2.57,31.13
Masala Dalia,175.96,30.47,5.01,3.27,1.03,4.21,154.96,32.44,1.44,1.69,19.82
Bajra Roti,188.88,32.86,6.75,3.99,0.7,3.71,184.35,44.69,2.22,1.51,34.82
Jowar Roti,158.32,29.55,4.45,3.22,0.41,3.48,194.76,41.6,2.31,1.4,31.21
Ragi Roti,157.51,27.89,4.32,3.27,0.53,4.23,171.07,28.72,2.27,2.21,35.66
Jowar Bhakri,192.16,34.07,5.83,5.08,0.6,4.3,167.06,27.53,1.59,1.32,30.36
Bajra Bhakri,167.44,27.3,4.94,4.09,0.8,3.76,155.06,38.86,1.56,3.16,21.52
Multigrain Roti,209.64,35.01,5.18,5.1,0.96,3.35,122.47,27.78,2.09,1.79,37.03
Oats Roti,200.01,35.27,5.14,4.9,0.47,4.91,133.62,33.82,2.08,2.15,30.79
Barley Roti,165.13,25.15,4.33,4.43,0.67,4.28,118.3,31.14,1.58,3.17,33.44
Amaranth Roti,174.17,26.94,4.69,4.5,1.07,3.88,152.76,40.68,2.32,2.12,32.19
Ragi Bhakri,193.87,32.43,6.76,3.74,0.96,4.37,157.1,38.13,1.5,1.63,24.89
Missi Roti Light,184.79,30.87,4.78,4.99,0.72,3.87,128.87,40.33,1.79,1.23,38.49
Methi Roti Light,223.47,36.17,6.5,5.44,0.84,3.81,136.56,30.52,1.46,2.52,34.91
Palak Roti,195.76,31.44,4.98,4.33,1.06,4.18,194.95,42.62,2.3,2.13,20.53
Vegetable Stuffed Roti Light,150.38,24.71,3.91,2.84,0.54,4.92,180.98,38.59,2.02,1.86,32.27
Paneer Stuffed Roti Light,164.46,30.24,4.16,3.13,0.87,4.48,169.42,29.32,2.02,1.74,24.95
Sattu Roti,149.15,25.12,4.17,3.45,0.54,3.54,124.1,39.51,2.28,2.05,37.26
Sattu Paratha Light,148.74,22.19,4.69,3.88,0.44,4.72,146.39,32.09,1.52,3.19,20.85
Methi Thepla Light,194.98,35.45,6.23,5.02,0.53,4.75,166.37,33.06,1.47,1.57,26.1
Bajra Thepla Light,127.75,22.02,4.95,3.07,1.09,4.97,176.84,37.82,2.03,1.39,23.3
Jowar Thepla Light,163.08,26.27,5.07,3.69,1.11,4.48,116.12,42.94,1.71,1.21,29.54
Multigrain Thepla Light,196.87,32.71,5.92,3.94,0.46,3.3,190.27,29.01,1.64,1.59,20.13
Roasted Chana,223.15,34.95,8.79,6.81,1.17,5.25,209.45,75.97,2.77,4.55,40.41
Roasted Black Chana,229.33,36.59,7.71,6.41,1.17,4.25,187.32,77.02,2.36,2.24,42.82
Roasted Moong,195.54,26.09,7.08,6.12,2.46,4.62,186.77,53.72,2.63,3.83,29.27
Roasted Soy Nuts,211.62,33.95,8.42,6.02,1.18,5.17,132.72,82.86,1.99,2.87,32.39
Roasted Makhana,254.31,37.86,10.86,7.32,2,4.26,196.98,80.19,2.22,4.71,38.05
Masala Makhana,211.56,29.44,6.16,7.44,1.56,4.23,124.13,51.59,2.49,2.02,36.19
Air Roasted Makhana,221.41,27.88,6.77,7.52,1.25,6.14,177.1,71.69,2.51,3.91,44.59
Steamed Sweet Corn,203.24,32.44,7.57,5.64,1.06,5.5,129.05,55.57,2.42,3.69,34.82
Corn Chaat,192.59,26.79,6.52,6.64,1.88,5.3,212.76,75.79,2.25,3.24,25.15
Chana Chaat,251.04,35.66,8.65,10.31,1.09,5.62,122.45,70.19,1.74,4.6,47.45
Moong Chaat,202.94,34.03,7.65,5.62,1.18,5.66,149.88,49.2,2.18,3.92,44.13
Sprouted Moong Chaat,277.11,37.08,8.18,8.63,1.4,5.14,146.4,49.69,1.94,2.9,33.11
Sprouted Chana Chaat,227.55,36.37,7.59,7.21,2.48,4.77,129.94,66.73,2.46,4.19,38.95
Lobia Chaat,224.24,34.5,7.42,6.3,1.59,4.09,154.21,68.79,2.23,3.83,40.84
Rajma Chaat,214.86,28.72,7.85,6.9,1.59,4.71,182.15,53.58,2.18,4.48,25.39
Peanut Chaat,236.54,32.94,9.28,7.71,2.65,4.02,211.61,59,2.7,4.57,38.14
Murmura Chaat,207.08,30.3,7.38,7.67,1.48,4.99,187.07,83.57,1.68,4.02,47.21
Vegetable Bhel,183.39,23.97,7.35,6.38,2.5,4.15,207.09,80.14,2.63,3.35,30.67
Sprout Bhel,194.39,28.51,8.67,5.79,1.1,5.15,142.28,70.92,2.6,1.97,45.33
Oats Bhel,231.51,34.97,9.82,7.64,1.95,4.35,204.33,81.79,2.64,3.49,38.16
Jowar Bhel,231.47,35.32,8.11,8.62,1.58,4.74,177.24,58.19,1.88,1.92,33.43
Ragi Ladoo Low Sugar,270.37,35.12,9.95,9.11,2.48,4.74,173.69,48.79,1.69,4.77,43.67
Sesame Ladoo Low Sugar,262.33,42.18,7.79,9.44,2.42,5.02,147.67,75.61,2.61,3.66,31.88
Peanut Ladoo Low Sugar,225.9,34.22,7.41,6.39,1.74,5.24,161.5,78.31,2.75,4.6,38.33
Dry Fruit Chikki Light,241.07,33.56,9,7.13,2.35,5.57,191.63,56.21,2.25,3.56,24.56
Til Chikki Light,262.24,37.86,7.96,9.28,2.36,5.61,202,63.55,2.34,1.8,40.3
Amaranth Chikki Light,276.42,35.68,8.82,8.84,1.5,5.53,187.9,84.07,2.83,4.56,43.01
Buttermilk,216.52,30.34,8.64,8.34,2.56,5.17,156.57,66.84,2.17,2.13,28.26
Masala Buttermilk,237.48,36.25,7.64,6.04,1.3,5.07,196.35,56.91,2.37,2.26,31.94
Mint Buttermilk,255.1,37.54,10.71,6.99,1.85,4.74,215.77,52.84,2.68,4.39,38.05
Cucumber Buttermilk,223.89,30.6,7.08,7.65,2.67,5.12,169.37,74.17,2.26,4.51,29.02
Amla Buttermilk,296.49,41.64,10.92,8.26,1.55,5.88,133.48,59.73,2.19,2.77,33.98
Unsweetened Lassi,226.7,33.57,9.99,6.23,2.43,5.72,189.36,81.47,2.62,2.97,36.36
Plain Curd,221.07,33.49,10.05,7.14,1.16,5.81,215.78,79.83,2.72,4.65,35.24
Low Fat Curd,175.46,26.43,7.51,5.59,1.01,6.1,143.66,55.86,1.92,3.77,32.52
Greek Style Curd Indian,251.44,37.67,8.84,8.09,1.29,4.82,212.57,70.98,1.99,3.15,44.97
Hung Curd,237.27,34.99,9.94,8.17,1.34,5.45,212.65,70.16,2.15,3.57,26.01
Roasted Peanut,258.42,33.16,10.2,8.06,1.05,4.62,136.94,50.6,2.56,2.85,34.04
Roasted Lotus Seeds,200.09,32.4,6.82,5.47,1.37,4.7,127.96,54.42,2.15,4.44,25.9
Moong Dal Soup,61.83,9.1,3.13,1.77,0.7,2,190.25,33.56,1.07,7.68,28.19
Masoor Dal Soup,60.31,8.01,3.13,2,0.81,2.08,179.86,40.45,0.84,8.21,26.02
Mixed Dal Soup,51.87,7.04,2.54,1.96,0.67,2.37,255.34,28.03,1.05,10.82,24.91
Palak Soup,53.57,7.26,2.32,1.62,0.58,2.63,266.93,27.42,0.83,7.45,29.23
Methi Soup,73.62,9.51,3.4,2.01,0.94,2.74,287.37,40.31,1.19,12.28,25.82
Lauki Soup,74.77,9.61,3.64,1.85,0.98,2.57,206.85,39.91,1.17,12.29,33.37
Tomato Basil Soup Indian,73.38,9.56,2.75,2.31,0.92,2.01,233.39,30.32,0.85,11.65,26.44
Carrot Ginger Soup,54.69,8.19,2.35,1.83,0.54,2.07,243.09,34.93,1.16,8.52,23.52
Beetroot Soup,52.53,7.72,3.23,1.38,0.64,2.74,206.82,27.37,1.18,8.9,23.4
Kaddu Soup,80.17,10.02,3.78,2.37,0.99,2.43,240.3,39.81,0.79,10.86,34.33
Cabbage Soup,61.95,8.44,3,1.32,1.07,2.28,190.15,32.97,1.13,6.57,23.18
Mushroom Soup Indian,50.78,6.68,2.57,1.61,0.96,2.4,210.24,26.55,0.86,7.3,20.62
Sweet Corn Vegetable Soup,52.23,6.68,2.66,1.59,0.97,2.69,191.48,37.11,0.78,8.25,24.33
Spinach Corn Soup,64.8,8.26,3.19,2.07,0.85,2.52,176.79,40.17,1.05,6.97,23.24
Broccoli Soup Indian,75.59,10.97,3.53,2.24,0.74,2.17,233.2,39.45,0.77,11.16,22.45
Moong Sprout Soup,75.49,10.13,3.46,2.05,0.77,2.71,269.85,30.8,0.91,8.19,22.36
Chana Soup,60.8,8.35,3.02,1.48,0.72,2.56,183.74,35.3,0.77,10.21,23.51
Lentil Vegetable Soup,70.24,10.07,3.66,1.87,0.74,2.37,200.61,28.4,0.82,12.79,24.72
Drumstick Soup,56.32,8.39,2.04,1.42,1.06,2.47,236.48,45.01,0.77,12.7,32.36
Rasam,76.87,9.78,3.08,2.28,0.78,2.27,258.07,32.24,0.97,5.87,20.87
Pepper Rasam,63.22,8.6,2.85,1.6,0.88,2.13,294.11,36.78,1.2,8.89,25.8
Tomato Rasam,71.92,9.99,3.34,1.87,0.79,2.27,231.91,30.44,1.23,7.57,33.65
Lemon Rasam,61.24,8.23,2.76,1.88,1.06,1.9,253.38,36.07,0.77,8.78,22.11
Mysore Rasam,56.56,8.93,2.88,1.36,0.53,1.83,256.45,29.67,1.23,6.48,19.09
Mint Chutney,136.07,10.82,3.39,9.92,1.72,3.67,287.56,71.17,1.91,8.47,29.32
Coriander Chutney,98.13,8.35,3.06,5.84,0.87,2.87,219.67,54.32,1.24,18.65,24.04
Coriander Mint Chutney,101.9,9.26,2.59,6.07,0.94,2.47,296.68,43.89,1.49,14.17,25.92
Curry Leaf Chutney,111.44,8.38,2.61,6.62,2.09,3.74,261,43.69,1.39,10.05,21.3
Tomato Chutney,93.84,8.44,2.44,5.04,1.23,3.37,232.59,57.54,1.28,13.14,24.2
Onion Tomato Chutney,93.57,9.11,2.43,5.16,0.81,3.66,280.53,48.83,1.5,8.25,36.15
Peanut Chutney Light,114.18,8.21,2.55,7.6,2.03,3.48,298.42,55.77,1.87,13.33,28.46
Roasted Peanut Chutney,115.31,10.78,2.77,7.04,1.89,2.82,323.16,54.63,1.75,8.82,40.42
Sesame Chutney Light,111.41,9.3,2.74,6.19,1.72,2.9,299.37,57.8,1.5,17.14,38.84
Flaxseed Chutney,114.11,10.58,2.71,7.5,1.7,3.71,286.44,44.84,1.78,10.58,35.6
Coconut Mint Chutney Light,124.44,10.54,3.39,8.76,0.99,2.97,258.43,60.89,1.6,9.07,30.46
Amla Chutney,103.85,8.95,3.16,6.08,2,3.13,291.26,43.47,1.27,8.41,37.06
Raw Mango Chutney,122.45,10.31,3.08,7.26,1.59,3.2,336.21,50.17,1.67,13.92,27.42
Guava Chutney,133.99,10.23,3.81,9.08,1.45,3.64,324.13,64.57,1.54,16.41,26.63
Beetroot Chutney,130.99,11.58,2.95,7.25,1.83,3.68,255.1,71.39,1.25,13.43,31.06
Carrot Chutney,140.72,12.61,3.7,8.36,1.44,2.98,198.18,56.47,1.83,15.71,37.71
Capsicum Chutney,98.22,9.77,2.42,6.38,1.09,3.04,302.7,54.41,1.47,10.2,32.29
Garlic Chutney Light,97.5,9.79,3.08,5.2,0.85,3.63,227.35,57.09,1.36,17.52,29.32
Green Chilli Coriander Chutney,122,9.83,2.64,7.08,1.37,3.12,305.27,71.37,1.37,16.67,32.67
Pudina Raita Dip,145.76,12.06,3.37,8.84,0.92,3.38,270.55,69.04,1.79,8.45,23.81
Hung Curd Mint Dip,98.14,8.45,2.16,6.59,1.88,3.15,275.99,44.8,1.85,9.3,23.15
Cucumber Yogurt Dip,102.92,9.8,2.32,6.65,1.76,3.41,204.61,54.83,1.29,15.59,28.49
Pesarattu,157.15,21.9,6.16,3.76,0.68,3.87,220.54,46.75,1.29,6.54,25.82
Pesarattu Upma,165.51,25.1,5.68,3.41,0.88,3.68,146.23,63.4,2,4.67,26.25
Moong Dal Dosa,172.52,26.82,5.94,4.68,1.49,4.03,200.5,62.97,1.52,10.18,22.87
Adai Dosa,155.94,24.37,5.09,3.32,1.17,3.09,150.55,42.17,1.71,10.89,28.65
Neer Dosa Light,211.53,33.06,6.59,6.17,1.15,3.88,235.47,65.24,1.98,11.19,33.12
Set Dosa Light,178.22,31.23,6.09,3.91,1.53,3.44,222.3,41.47,1.61,8.51,25.31
Vegetable Uttapam,165.15,26.03,8.12,4.48,1.25,4.37,149.94,43.52,1.83,9.87,31.43
Oats Uttapam,183.15,25.39,6.07,4.87,1.37,3.54,182.43,41.62,1.39,8.07,30.11
Ragi Uttapam,189.4,30.56,7.19,6.09,1.49,3.21,213.14,69.53,2.01,10.18,31.29
Millet Uttapam,166.84,28.76,7.17,3.97,1.2,3.12,227.02,66.66,2.14,4.91,43.45
Moong Dal Uttapam,134.17,20.98,5.78,2.99,0.63,2.83,235.02,45.1,1.39,8.18,27.65
Kuttu Cheela,196.16,31.14,7.32,5.87,1.5,3.62,150.29,61.09,1.32,10.45,37.89
Singhara Cheela,198.68,27.9,7.12,5.96,1.19,3.18,254.08,63.78,1.39,7.53,35.59
Rajgira Cheela,135.93,21.45,4.88,3.19,0.78,3.61,161.85,63.14,1.46,10.47,22.99
Samak Rice Khichdi,154.12,24.08,5.53,4.52,1.59,4.13,160.08,63.03,1.82,5.61,39.43
Kuttu Khichdi,160.38,26.6,5.84,4.44,1.42,3.08,231.23,65.39,1.97,4.34,28.52
Samak Dosa,165.1,25.66,7,4.21,0.78,4.18,148.46,63.71,1.42,6,39.77
Ragi Mudde,151.93,21.85,5.04,4.63,0.79,3.28,168.54,59.16,1.63,5.51,25.49
Jowar Bhakri with Dal,144.63,19.54,5.12,4.92,1,4.11,207.18,66.32,1.5,6.27,29.16
Bajra Khichda,140.14,19.73,5.78,4.53,1.09,2.97,198.29,58.03,1.29,10.1,44.21
Dal Baati Light,164.87,27.99,6.54,4.41,1.23,3.03,236.49,53.98,1.66,6.49,44.11
Bengali Moong Dal,145.79,19.84,4.7,4.31,0.85,4.36,174.26,60.85,1.31,7.67,37.06
Bengali Cholar Dal Light,181.48,23.58,6.97,5.69,1.29,3.52,170.03,67.4,1.54,9.63,24.91
Kerala Parippu Curry,155,23.47,5.69,4.92,0.72,4.37,183.27,55.74,1.74,10.19,39.66
Kerala Vegetable Stew Light,133.46,20.4,5.24,3.65,1.03,3.01,163.9,64.13,1.58,8.32,33.95
Mixed Vegetable Sambar,175.3,25.57,5.98,4.67,0.92,3.48,170.46,43.81,1.66,9.61,41.45
Drumstick Sambar,197.38,27.94,7.22,5.39,1.19,3.17,178.65,61.03,1.73,7.72,24.42
Moong Dal Sambar,196.42,29.77,5.63,4.51,0.63,2.88,198.76,52,1.53,11.06,28.05
Rasam Rice Light,166.27,25.62,5.57,5.38,1.33,2.8,227.56,64.53,1.95,4.37,38.16
Curd Rice Brown Rice,200.84,27.6,6.63,6.23,1.31,3.05,146.74,58,1.81,6.32,42.03
Vegetable Curd Rice,138.72,21.15,6.05,3.35,0.69,4.09,151.09,61.76,2.01,10.15,44.38
Kadhi Light,186.63,29.05,6.53,5.84,1.55,3.81,199.13,63.33,1.46,5.68,44.31
Palak Kadhi,160.95,22.28,5.59,4.21,1.6,3.78,216.79,62.42,1.58,10.2,27.28
Lauki Kadhi,149.06,24.56,5.93,3.49,1.1,3.86,175.19,45.36,1.79,7.33,33.87
Besan Kadhi Light,178.31,25.51,5.75,4.87,1.27,2.97,180.22,47.15,1.52,6.11,32.42
Gujarati Dal Dhokli Light,134.4,21.98,6.04,3.3,1.34,3.34,167.69,47.32,1.28,7.52,23.27
Moong Dal Dhokla,173.12,26.52,6.48,3.56,1.1,3.29,234,45.07,1.39,7.12,41.89
Patra Steamed,168.2,25.48,7.2,4.3,1.59,3.88,151.97,58.77,1.66,9.88,30.02
Methi Muthia Steamed,178.37,26.86,6.08,4.68,0.9,2.85,158.72,44.62,1.4,4.74,41.99
Vegetable Muthia Steamed,180.21,25.46,7.84,5.93,0.98,4.37,194.15,67.16,1.96,7.5,27.88
Oats Idiyappam,195.78,30.32,6.39,5.35,1.12,3.43,230.93,70.82,1.69,6.6,30.77
Ragi Idiyappam,139.88,20.45,4.46,3.78,0.97,3.06,170.54,59.76,2.12,8.17,26.74
Vegetable Sevai Upma,146.86,24.42,5.78,3.53,1.19,3.5,212.32,43.37,1.59,9.83,28.21
